,SVM,Random Forest,KNN,Decision Tree,Naive Bayes
Accuracy,0.7302133516861665,0.8396421197522368,0.7804542326221611,0.8189951823812801,0.7460426703372333
F1,0.8127984718242598,0.9013130029648454,0.8635002139495079,0.8830591373943976,0.843045512547852
