,Ridge,Lasso,Decision Tree Reg,Random Forest Reg
MSE,6.279121958776195,5.999605076140215,4.983480983044814,2.8157884100874897
R2,0.08302385794356937,0.1238433091919946,0.2722337301544202,0.5887942916094477
