id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
266,Gabon                                                                                                                                                 ,2024,100.0,17.9,17.4,0.0,    0.8,0.0,0.0,45.2,44.7,0.9,0.0,0.0,60.0,     30,6.0,5.0,55.0,54.0,5164.0,Gabon,N
270,The Gambia                                                                                                                                            ,2024,0.8,61.3,11.4,0.0,    2.0,0.0,0.0,0.8,36.1,0.0,0.4,0.0,110.0,     35,6.0,5.0,44.0,60.0,5442.0,The Gambia,N
268,Georgia                                                                                                                                               ,2024,100.0,6.3,0.7,27.6,   93.0,0.0,0.3,0.3,0.0,0.3,6.7,0.0,20.0,     12,14.0,4.0,80.0,388.0,8008.0,Georgia,N
288,Ghana                                                                                                                                                 ,2024,1.4,39.5,11.4,0.0,    2.0,0.0,0.0,1.4,36.1,0.0,0.4,0.0,99.0,     35,6.0,5.0,46.0,60.0,5442.0,Ghana,N
308,Grenada                                                                                                                                               ,2024,100.0,50.0,9.7,0.0,    4.0,0.0,0.2,100.0,22.8,0.0,5.6,0.0,100.0,     40,3.0,9.0,3.0,88.0,5537.0,Grenada,N
320,Guatemala                                                                                                                                             ,2024,100.0,39.7,4.9,2.3,   55.6,0.0,0.0,93.5,0.0,0.0,19.3,0.0,75.0,     20,13.0,5.0,31.0,120.0,6477.0,Guatemala,N
324,Guinea                                                                                                                                                ,2024,28.5,10.1,11.4,0.9,    2.0,0.0,0.0,4.8,36.1,0.3,0.4,0.0,40.0,     35,14.0,5.0,71.0,60.0,5442.0,Guinea,N
624,Guinea-Bissau                                                                                                                                         ,2024,97.2,50.0,11.4,0.0,    2.0,0.0,0.0,97.2,36.1,0.0,0.4,0.0,50.0,     35,3.0,5.0,1.0,60.0,5442.0,Guinea-Bissau,N
328,Guyana                                                                                                                                                ,2023,100.0,50.1,10.0,0.0,    9.4,0.0,0.0,100.0,22.9,0.0,6.2,0.0,100.0,     70,4.0,13.0,3.0,101.0,5580.0,Guyana,N
332,Haiti                                                                                                                                                 ,2024,85.6,18.2,4.2,3.6,   47.9,9.3,0.0,50.5,3.4,0.0,9.8,0.0,50.0,     40,110.0,11.0,54.0,125.0,5088.0,Haiti,I
340,Honduras                                                                                                                                              ,2024,100.0,31.9,4.9,2.2,   55.1,0.0,0.0,89.1,0.0,0.0,19.4,0.0,55.0,     15,19.0,4.0,29.0,116.0,6490.0,Honduras,N
344,"Hong Kong, China                                                                                                                                      ",2024,41.6,0.0,0.0,41.6,  100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      0,1.0,1.0,0.0,0.0,6757.0,"Hong Kong, China",N
352,Iceland                                                                                                                                               ,2024,94.3,9.5,0.1,46.4,   99.1,0.0,0.0,27.3,0.0,8.6,0.9,0.0,175.0,     10,40.0,2.0,134.0,769.0,7165.0,Iceland,N
356,India                                                                                                                                                 ,2024,70.1,36.0,13.0,2.6,    2.8,5.7,4.7,67.0,23.8,1.1,1.1,0.0,150.0,    255,186.0,184.0,50.0,106.0,11192.0,India,N
