id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
480,Mauritius                                                                                                                                             ,2024,20.4,86.6,0.8,4.9,95.8,0.0,0.0,15.5,1.0,0.0,4.2,0.0,    122,    100,5.0,5.0,62.0,450.0,6875.0,Mauritius,N
484,Mexico                                                                                                                                                ,2024,100.0,36.2,7.4,0.3,48.5,1.0,1.0,98.7,14.7,0.8,6.6,0.0,    254,     75,44.0,27.0,45.0,124.0,8130.0,Mexico,I
583,"Micronesia, Federated States of                                                                                                                       ",2024,,,5.0,,0.0,,0.3,,4.7,,4.7,,,    233,,9.0,,123.0,5976.0,"Micronesia, Federated States of",
498,"Moldova, Republic of                                                                                                                                  ",2024,100.0,6.9,5.4,26.1,38.4,1.2,1.1,2.9,2.1,0.9,2.1,0.0,     75,     75,33.0,37.0,89.0,117.0,9814.0,"Moldova, Republic of",N
496,Mongolia                                                                                                                                              ,2024,100.0,17.4,5.2,1.7,1.3,0.0,0.0,76.9,0.9,0.0,0.9,0.0,     75,     40,13.0,10.0,37.0,57.0,6358.0,Mongolia,N
893,Montenegro                                                                                                                                            ,2024,100.0,5.3,3.7,31.0,33.0,0.0,0.5,3.4,2.9,3.4,4.8,0.0,     50,     46,77.0,60.0,127.0,142.0,10291.0,Montenegro,N
504,Morocco                                                                                                                                               ,2024,100.0,41.3,12.3,0.0,0.0,0.0,0.0,99.5,29.7,1.3,5.7,0.0,    289,    200,48.0,18.0,56.0,137.0,13134.0,Morocco,N
508,Mozambique                                                                                                                                            ,2024,14.3,97.7,10.3,0.0,3.6,0.0,0.0,14.0,34.6,0.0,0.0,0.0,    100,     20,3.0,5.0,15.0,72.0,5807.0,Mozambique,N
104,Myanmar                                                                                                                                               ,2024,18.4,83.0,7.6,1.2,5.8,0.1,0.0,14.8,10.8,0.5,5.2,0.0,    550,     60,23.0,13.0,107.0,108.0,11848.0,Myanmar,N
516,Namibia                                                                                                                                               ,2024,93.8,19.0,7.5,14.2,60.5,0.0,2.4,38.3,20.1,3.3,9.1,0.0,    597,    112,58.0,102.0,129.0,139.0,8477.0,Namibia,N
520,Nauru                                                                                                                                                 ,2024,,,10.8,,4.5,,0.9,,2.2,,0.6,,, > 1000,,30.0,,233.0,6179.0,Nauru,
524,Nepal                                                                                                                                                 ,2024,99.5,26.0,12.9,2.7,3.4,0.0,0.8,86.5,17.0,0.5,2.6,0.0,    200,    200,14.0,31.0,52.0,117.0,6313.0,Nepal,N
554,New Zealand                                                                                                                                           ,2024,100.0,9.5,1.9,50.0,66.1,3.1,0.3,29.5,0.0,7.9,4.5,0.0,    514,     45,117.0,6.0,135.0,136.0,8282.0,New Zealand,I
558,Nicaragua                                                                                                                                             ,2024,100.0,40.9,5.6,1.8,51.6,0.0,0.0,98.1,0.7,0.1,0.7,0.0,    200,    164,8.0,12.0,27.0,129.0,8199.0,Nicaragua,N
