id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
132,Cabo Verde                                                                                                                                            ,2024,100.0,15.9,11.9,4.5,11.1,0.0,0.1,44.7,31.5,2.1,5.8,0.0,     55,     55,12.0,13.0,81.0,102.0,6138.0,Cabo Verde,N
116,Cambodia                                                                                                                                              ,2024,100.0,19.3,9.4,0.8,17.1,0.0,0.0,45.4,4.4,0.1,4.4,0.0,     60,     35,24.0,6.0,56.0,79.0,11413.0,Cambodia,N
120,Cameroon                                                                                                                                              ,2023,14.0,79.9,18.1,0.0,0.7,0.0,0.0,14.0,48.0,0.0,0.0,0.0,     80,     30,2.0,5.0,2.0,53.0,6063.0,Cameroon,N
124,Canada                                                                                                                                                ,2024,99.7,6.6,3.8,40.3,77.8,2.8,1.5,7.0,6.1,1.2,7.2,0.0,    663,    663,380.0,224.0,335.0,485.0,7107.0,Canada,I
140,Central African Republic                                                                                                                              ,2024,61.4,35.7,18.1,0.0,0.7,0.0,0.0,61.4,48.0,0.0,0.0,0.0,     70,     30,8.0,5.0,25.0,53.0,6063.0,Central African Republic,N
148,Chad                                                                                                                                                  ,2024,14.1,79.9,17.9,0.0,0.7,0.0,0.0,14.1,47.9,0.0,0.0,0.0,     80,     30,2.0,7.0,1.0,53.0,6063.0,Chad,N
152,Chile                                                                                                                                                 ,2024,100.0,25.1,6.0,0.0,0.4,0.0,0.1,100.0,0.0,0.1,0.0,0.0,     98,      6,7.0,3.0,10.0,7.0,8737.0,Chile,N
156,China                                                                                                                                                 ,2024,100.0,10.0,7.5,6.5,9.7,0.0,0.3,16.3,5.0,2.4,2.3,0.0,     65,     65,58.0,69.0,76.0,84.0,8956.0,China,N
170,Colombia                                                                                                                                              ,2024,100.0,41.9,6.7,4.5,51.6,0.0,2.1,95.4,4.6,2.4,4.5,0.0,    227,     98,51.0,17.0,60.0,168.0,7973.0,Colombia,N
174,Comoros                                                                                                                                               ,,100.0,19.6,,4.6,,0.0,,85.8,,0.0,,0.0,     32,,12.0,,37.0,,,Comoros,I
178,Congo                                                                                                                                                 ,2023,16.8,27.4,18.1,0.0,0.7,0.0,0.0,14.8,48.0,0.0,0.0,0.0,     30,     30,3.0,5.0,26.0,53.0,6063.0,Congo,N
184,Cook Islands                                                                                                                                          ,2024,,,3.3,,98.8,,0.9,,1.1,,1.1,,, > 1000,,38.0,,731.0,6777.0,Cook Islands,
188,Costa Rica                                                                                                                                            ,2024,100.0,43.1,6.4,2.0,2.2,0.0,0.0,96.0,1.2,0.1,1.2,0.0,    233,    151,19.0,19.0,36.0,149.0,11390.0,Costa Rica,N
384,Côte d'Ivoire                                                                                                                                         ,2024,33.3,11.2,12.0,0.8,1.7,0.0,0.0,2.5,38.6,0.1,0.0,0.0,     64,     35,15.0,5.0,59.0,62.0,6380.0,Côte d'Ivoire,N
192,Cuba                                                                                                                                                  ,2023,32.5,21.1,4.4,2.2,6.7,0.0,0.0,14.5,0.0,0.0,0.0,0.0,     62,      5,28.0,6.0,79.0,33.0,6262.0,Cuba,N
180,Democratic Republic of the Congo                                                                                                                      ,,100.0,96.0,,0.0,,0.0,,98.9,,0.0,,0.0,    100,,9.0,,22.0,,,Democratic Republic of the Congo,N
262,Djibouti                                                                                                                                              ,,100.0,41.3,,0.0,,0.0,,99.6,,0.6,,0.0,    450,,14.0,,48.0,,,Djibouti,N
212,Dominica                                                                                                                                              ,2024,92.1,59.5,10.7,0.0,24.2,0.0,0.1,92.1,25.4,0.0,8.9,0.0,    150,    165,4.0,22.0,41.0,153.0,6769.0,Dominica,N
214,Dominican Republic                                                                                                                                    ,2024,100.0,34.0,7.6,2.4,55.4,0.0,0.0,89.4,29.4,0.0,1.0,0.0,     99,     99,13.0,12.0,35.0,133.0,7696.0,Dominican Republic,N
218,Ecuador                                                                                                                                               ,2024,100.0,21.7,10.9,0.0,46.0,0.0,5.5,70.7,33.7,0.2,0.7,0.0,     86,     86,19.0,29.0,39.0,117.0,8561.0,Ecuador,N
818,Egypt                                                                                                                                                 ,    ,99.4,36.8,,1.8,,0.2,,69.6,,0.4,,0.0, > 1000,,31.0,,405.0,,,Egypt,N
222,El Salvador                                                                                                                                           ,2024,100.0,37.0,5.7,2.3,51.9,0.0,0.0,97.7,1.5,0.2,1.5,0.0,    164,    164,15.0,14.0,36.0,123.0,8897.0,El Salvador,N
748,Eswatini                                                                                                                                              ,2024,93.8,19.0,7.5,14.2,60.5,0.0,2.4,38.3,20.1,3.3,9.1,0.0,    597,    181,58.0,102.0,129.0,140.0,8477.0,Eswatini,N
918,European Union                                                                                                                                        ,2024,100.0,5.0,5.0,29.2,29.3,4.7,4.7,4.0,4.3,4.2,5.1,0.0,    279,    150,539.0,497.0,166.0,148.0,9762.0,European Union,I
242,Fiji                                                                                                                                                  ,2024,50.0,41.0,8.4,0.0,26.6,0.3,1.8,50.0,5.3,0.2,5.2,0.0, > 1000, > 1000,8.0,76.0,54.0,538.0,6512.0,Fiji,I
266,Gabon                                                                                                                                                 ,2024,100.0,23.6,18.1,0.0,0.7,0.0,0.0,52.8,48.0,0.0,0.0,0.0,     60,     30,8.0,5.0,72.0,53.0,6063.0,Gabon,N
270,The Gambia                                                                                                                                            ,2024,14.3,103.3,12.0,0.0,1.7,0.0,0.0,14.3,38.6,0.0,0.0,0.0,    110,     35,9.0,5.0,21.0,61.0,6380.0,The Gambia,N
268,Georgia                                                                                                                                               ,2024,100.0,7.1,1.4,24.9,87.1,0.4,0.6,1.9,0.1,0.7,12.6,0.0,     30,     30,26.0,10.0,77.0,218.0,10233.0,Georgia,I
288,Ghana                                                                                                                                                 ,2024,15.1,92.0,12.0,0.0,1.7,0.0,0.0,15.1,38.6,0.0,0.0,0.0,     99,     35,6.0,5.0,21.0,61.0,6380.0,Ghana,N
308,Grenada                                                                                                                                               ,2024,100.0,57.2,11.0,0.2,5.1,0.0,0.2,99.8,26.5,0.8,7.9,0.0,    200,     40,9.0,10.0,37.0,93.0,6663.0,Grenada,N
320,Guatemala                                                                                                                                             ,2024,100.0,41.3,5.5,2.0,51.8,0.0,0.0,94.0,0.6,0.6,0.6,0.0,    257,     40,27.0,8.0,47.0,113.0,7584.0,Guatemala,N
324,Guinea                                                                                                                                                ,2024,38.4,20.8,12.0,0.7,1.7,0.0,0.0,17.8,38.6,0.1,0.0,0.0,     75,     35,15.0,5.0,77.0,61.0,6380.0,Guinea,N
624,Guinea-Bissau                                                                                                                                         ,2024,97.6,48.6,12.0,0.0,1.7,0.0,0.0,97.6,38.6,0.0,0.0,0.0,     50,     35,3.0,5.0,7.0,61.0,6380.0,Guinea-Bissau,N
328,Guyana                                                                                                                                                ,2023,100.0,57.0,11.7,0.0,9.6,0.0,0.0,100.0,26.7,0.0,10.0,0.0,    100,    100,4.0,15.0,31.0,111.0,6707.0,Guyana,N
